company,education,experience,location,position,salary
滴滴出行,本科,3-5年,北京,资深算法工程师,20k-40k
蚂蚁金服,本科,不限,北京,蚂蚁金服-高级算法工程师/专家-北京,25k-45k
滴滴出行,本科,3-5年,北京,实时计算专家(大数据架构),30k-50k
senscape,本科,3-5年,北京,嵌入式驱动工程师,15k-25k
北京柯莱特,大专,3-5年,北京,Java,10k-14k
创新工场,硕士,1-3年,北京,推荐算法工程师,25k-50k
Boss直聘,硕士,3-5年,北京,算法工程师,30k-50k
senscape,硕士,3-5年,北京,深度学习算法工程师,15k-30k
闪银奇异,硕士,1-3年,北京,机器学习工程师,20k-40k
楚楚街,本科,1-3年,北京,大数据研发工程师,15k-20k
美团酒店事业,硕士,1-3年,北京,数据挖掘分析师,12k-20k
高德地图,本科,3-5年,北京,资深测试开发工程师,18k-34k
凡普金科,本科,3-5年,北京,算法工程师,20k-40k
蓝智,大专,3-5年,北京,web前端,7k-14k
小米,本科,5-10年,北京,相机算法研发工程师,20k-40k
桔子分期,本科,1-3年,北京,算法工程师,20k-35k
腾信软创,大专,3-5年,北京,数据挖掘工程师,15k-22k
腾信软创,大专,3-5年,北京,数据挖掘,15k-22k
新浪微博,本科,1-3年,北京,PHP应用研发中高级工程师,20k-35k
极睿科技,本科,3-5年,北京,高级商务经理,15k-25k
凤凰金融,本科,3-5年,北京,保险产品经理（后台）,25k-35k
神州锐达,本科,1-3年,北京,大数据开发工程师,10k-20k
滴滴出行,本科,5-10年,北京,运营策略算法专家,30k-60k
滴滴出行,本科,5-10年,北京,算法专家,30k-60k
普强信息,硕士,应届生,北京,语音识别工程师-声学模型,10k-20k
脉讯在线,本科,1-3年,北京,数据挖掘工程师,15k-25k
脉讯在线,本科,1-3年,北京,大数据算法工程师,15k-25k
新浪微博,本科,3-5年,北京,高级产品经理-微博feed流（信息流）,15k-30k
第四范式,本科,3-5年,北京,前端开发,20k-40k
普强信息,本科,不限,北京,NLP,10k-15k
竞技世界,硕士,3-5年,北京,高级数据分析/挖掘工程师,15k-30k
竞技世界,本科,3-5年,北京,数据工程师,25k-35k
普强信息,本科,不限,北京,大数据分析师,10k-15k
百度,本科,1-3年,北京,策略算法研发工程师,20k-40k
CSDN,本科,1-3年,北京,机器学习教研员,15k-30k
华开领航,本科,不限,北京,图像算法工程师,25k-40k
汇桔网,本科,1-3年,北京,算法工程师,18k-36k
北京天润融通,本科,5-10年,北京,Python后端架构师[中关村],26k-40k
今日头条,本科,不限,北京,数据挖掘工程师 - 用户产品方向,20k-40k
今日头条,本科,3-5年,北京,高级/资深数据挖掘工程师 - 用户产品方向,30k-50k
ASDC,本科,3-5年,北京,Java开发-（初中高级）,15k-30k
名策数据,本科,不限,北京,人工智能算法工程师,30k-50k
阿里巴巴-UC,本科,3-5年,北京,C++开发工程师,15k-30k
在行,硕士,应届生,北京,算法工程师,10k-20k
荣大科技,硕士,1-3年,北京,自然语言处理（NLP）工程师,25k-50k
Hanalytics,本科,3-5年,北京,数据科学家/工程师,25k-26k
睿知博祥,本科,3-5年,北京,推荐算法,25k-50k
作业帮,本科,1-3年,北京,数据挖掘,15k-30k
有利网,本科,1-3年,北京,风控策略,15k-30k
千千悦科技,本科,1年以内,北京,算法研究员,30k-50k
北京深度视觉,本科,5-10年,北京,图像算法师,15k-30k
51Talk,硕士,3-5年,北京,图像文字算法,30k-45k
上海微创软件,本科,不限,北京,C#/.NET开发工程师,8k-13k
国美金融,本科,3-5年,北京,风控,20k-35k
一米蓝,本科,3-5年,北京,图像文字算法工程师,35k-40k
腾讯,硕士,3-5年,北京,自动驾驶计算机视觉算法工程师（北京),50k-100k
未来安全,本科,1-3年,北京,全栈工程师,15k-30k
上海星红桉,大专,3-5年,北京,算法工程师,9k-18k
成为智能,本科,3-5年,北京,数据建模分析师 ——北京,8k-13k
北京新氧科技,本科,5-10年,北京,推荐系统工程师,25k-50k
