company,education,experience,location,position,salary
深圳国开创新科技,本科,5-10年,深圳,大数据/数据开发,25k-35k
腾讯,硕士,1-3年,深圳,机器学习和数据挖掘工程师（深圳）,30k-60k
腾讯,硕士,不限,深圳,自然语言处理高级工程师（深圳）,30k-60k
腾讯,硕士,不限,深圳,数据挖掘工程师,30k-60k
东元集团,本科,不限,深圳,推荐算法工程师,9k-18k
天琴医疗,博士,不限,深圳,深度学习,26k-52k
东元集团,本科,1-3年,深圳,自然语言处理工程师,9k-18k
东元集团,本科,1-3年,深圳,图像算法工程师,9k-16k
深视创新,本科,1-3年,深圳,C++ 工程师,12k-24k
腾讯,本科,3-5年,深圳,机器学习平台开发工程师,15k-30k
GLS,大专,3-5年,深圳,大数据开发工程师,10k-20k
图普科技,硕士,3-5年,广州,自然语言处理研究员,30k-60k
PonyAI小马智行,本科,1-3年,广州,高级算法工程师- 感知,25k-26k
图普科技,硕士,3-5年,广州,自然语音处理研究员,30k-60k
PonyAI小马智行,本科,1-3年,广州,自动驾驶算法工程师-通才,25k-50k
广州棒谷,本科,1-3年,广州,后台工程师-Python方向,10k-20k
PonyAI小马智行,博士,3-5年,广州,自动驾驶算法研究员,50k-100k
腾讯音乐,本科,3-5年,深圳,SNG16-腾讯音乐大数据可视化工程师（深圳）,18k-36k
LinkDoc,博士,不限,广州,图像算法工程师,25k-50k
广州智伴,本科,1-3年,广州,自然语言处理,12k-20k
LinkDoc,硕士,不限,广州,深度学习算法工程师,20k-40k
ivvi科技,硕士,3-5年,深圳,高级视觉（图像）算法工程师,25k-45k
数聚能源科技,硕士,1-3年,深圳,数据挖掘工程师,11k-22k
曲速未来,本科,3-5年,广州,AI算法专家 算法研究员,20k-40k
泰绅智品,本科,1年以内,广州,机器学习,4k-8k
融合通信,硕士,3-5年,广州,自然语言处理应用工程师,20k-25k
融合通信,本科,5-10年,广州,机器学习工程师,20k-25k
华为技术有限公司,硕士,3-5年,深圳,人工智能-架构师,25k-50k
第四范式,本科,不限,深圳,机器学习建模,20k-40k
第四范式,硕士,不限,深圳,NLP高级算法,30k-60k
腾讯,博士,10年以上,深圳,SNG优图实验室安防基础研究总监,250k-260k
华为技术有限公司,本科,3-5年,深圳,深度学习,20k-40k
广业开元,本科,3-5年,广州,大数据挖掘工程师,14k-25k
华为,本科,1年以内,深圳,机器学习,20k-40k
华为技术有限公司,本科,3-5年,深圳,机器学习,40k-80k
软通动力,本科,1-3年,深圳,python开发,10k-15k
高新兴科技集团,硕士,3-5年,广州,算法总监/专家,30k-60k
新致方舟科技,本科,5-10年,深圳,java高级（物联网-大数据）,16k-18k
健康160,本科,3-5年,深圳,Java高级工程师（推荐系统）,20k-25k
深圳国开创新科技,本科,5-10年,深圳,hadoop,17k-34k
腾讯,硕士,3-5年,深圳,游戏AI高级算法工程师（深圳）,30k-60k
软通动力,本科,1-3年,深圳,Python,8k-16k
微思敦,本科,5-10年,深圳,高级python开发工程师,20k-25k
深圳国开创新科技,本科,5-10年,深圳,大数据工程师,34k-36k
金蝶账无忧,本科,3-5年,深圳,Python开发工程师,12k-20k
Percolata,本科,1-3年,深圳,Python 开发工程师,8k-12k
